,Unnamed: 0,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
0,0,MovingAverageCrossOver,MMM,2010-01-01/2023-01-01,0.3,XLI,3.1508333333333343,5.6000000000000005,-2.4491666666666663
1,1,MovingAverageCrossOver,AOS,2010-01-01/2023-01-01,0.3,XLY,16.066666666666663,19.8325,-3.7658333333333367
2,2,MovingAverageCrossOver,ABT,2010-01-01/2023-01-01,0.3,XLV,7.1499999999999995,14.396666666666667,-7.246666666666667
3,3,MovingAverageCrossOver,ABBV,2010-01-01/2023-01-01,0.3,XLV,10.046666666666667,15.856666666666667,-5.8100000000000005
4,4,MovingAverageCrossOver,ACN,2010-01-01/2023-01-01,0.3,XLK,10.1875,18.43166666666667,-8.244166666666668
5,5,MovingAverageCrossOver,ATVI,2010-01-01/2023-01-01,0.3,XLC,12.430833333333334,19.874166666666667,-7.443333333333333
6,6,MovingAverageCrossOver,ADM,2010-01-01/2023-01-01,0.3,XLP,4.805,10.589166666666669,-5.784166666666669
7,7,MovingAverageCrossOver,ADBE,2010-01-01/2023-01-01,0.3,XLK,19.57,26.415833333333328,-6.845833333333328
8,8,MovingAverageCrossOver,ADP,2010-01-01/2023-01-01,0.3,S&P 500,8.559166666666668,16.660833333333336,-8.101666666666668
9,9,MovingAverageCrossOver,AAP,2010-01-01/2023-01-01,0.3,S&P 500,4.7875,13.335,-8.547500000000001
10,10,MovingAverageCrossOver,AES,2010-01-01/2023-01-01,0.3,XLU,1.1383333333333334,7.574166666666668,-6.435833333333334
11,11,MovingAverageCrossOver,AFL,2010-01-01/2023-01-01,0.3,S&P 500,5.978333333333333,8.735000000000001,-2.7566666666666686
12,12,MovingAverageCrossOver,A,2010-01-01/2023-01-01,0.3,XLV,7.616666666666666,16.872500000000002,-9.255833333333335
13,13,MovingAverageCrossOver,APD,2010-01-01/2023-01-01,0.3,XLB,2.5291666666666663,11.859166666666667,-9.33
14,14,MovingAverageCrossOver,AKAM,2010-01-01/2023-01-01,0.3,S&P 500,1.9375000000000007,9.229999999999999,-7.292499999999998
15,15,MovingAverageCrossOver,ALK,2010-01-01/2023-01-01,0.3,S&P 500,12.659166666666666,17.154166666666665,-4.494999999999999
16,16,MovingAverageCrossOver,ALB,2010-01-01/2023-01-01,0.3,XLB,11.150833333333331,20.325,-9.174166666666668
17,17,MovingAverageCrossOver,ARE,2010-01-01/2023-01-01,0.3,XLRE,3.1399999999999992,8.161666666666667,-5.021666666666668
18,18,MovingAverageCrossOver,ALGN,2010-01-01/2023-01-01,0.3,S&P 500,19.1075,34.79083333333333,-15.68333333333333
19,19,MovingAverageCrossOver,ALLE,2010-01-01/2023-01-01,0.3,S&P 500,5.595555555555555,11.243333333333332,-5.647777777777777
20,20,MovingAverageCrossOver,LNT,2010-01-01/2023-01-01,0.3,XLU,5.533333333333332,10.8825,-5.349166666666668
21,21,MovingAverageCrossOver,ALL,2010-01-01/2023-01-01,0.3,S&P 500,9.236666666666666,13.384166666666665,-4.147499999999999
22,22,MovingAverageCrossOver,GOOGL,2010-01-01/2023-01-01,0.3,XLC,15.070833333333333,20.890000000000004,-5.819166666666671
23,23,MovingAverageCrossOver,GOOG,2010-01-01/2023-01-01,0.3,XLC,14.433333333333332,21.032500000000002,-6.599166666666671
24,24,MovingAverageCrossOver,MO,2010-01-01/2023-01-01,0.3,XLP,1.2424999999999993,7.824166666666667,-6.581666666666667
25,25,MovingAverageCrossOver,AMZN,2010-01-01/2023-01-01,0.3,XLC,22.915833333333328,29.77916666666667,-6.86333333333334
26,26,MovingAverageCrossOver,AMCR,2010-01-01/2023-01-01,0.3,S&P 500,0.647,4.917,-4.27
27,27,MovingAverageCrossOver,AMD,2010-01-01/2023-01-01,0.3,XLK,34.06416666666666,36.42999999999999,-2.3658333333333346
28,28,MovingAverageCrossOver,AEE,2010-01-01/2023-01-01,0.3,XLU,3.5025,10.671666666666667,-7.169166666666667
29,29,MovingAverageCrossOver,AAL,2010-01-01/2023-01-01,0.3,S&P 500,15.915000000000001,13.271666666666667,2.6433333333333344
30,30,MovingAverageCrossOver,AEP,2010-01-01/2023-01-01,0.3,XLU,2.93,8.958333333333332,-6.028333333333332
31,31,MovingAverageCrossOver,AXP,2010-01-01/2023-01-01,0.3,XLF,12.7025,13.660833333333331,-0.9583333333333304
32,32,MovingAverageCrossOver,AIG,2010-01-01/2023-01-01,0.3,XLF,9.093333333333332,6.06,3.0333333333333323
33,33,MovingAverageCrossOver,AMT,2010-01-01/2023-01-01,0.3,XLRE,8.556666666666667,15.328333333333333,-6.7716666666666665
34,34,MovingAverageCrossOver,AWK,2010-01-01/2023-01-01,0.3,XLU,12.539166666666667,17.805833333333332,-5.266666666666666
35,35,MovingAverageCrossOver,AMP,2010-01-01/2023-01-01,0.3,S&P 500,18.809166666666666,19.107499999999998,-0.298333333333332
36,36,MovingAverageCrossOver,ABC,2010-01-01/2023-01-01,0.3,S&P 500,12.231666666666667,15.886666666666665,-3.6549999999999976
37,37,MovingAverageCrossOver,AME,2010-01-01/2023-01-01,0.3,XLI,11.303333333333333,17.585,-6.281666666666668
38,38,MovingAverageCrossOver,AMGN,2010-01-01/2023-01-01,0.3,XLV,4.141666666666667,13.885833333333332,-9.744166666666665
39,39,MovingAverageCrossOver,APH,2010-01-01/2023-01-01,0.3,XLK,10.432500000000001,17.445833333333333,-7.013333333333332
40,40,MovingAverageCrossOver,ADI,2010-01-01/2023-01-01,0.3,XLK,2.2199999999999993,15.290000000000001,-13.070000000000002
41,41,MovingAverageCrossOver,ANSS,2010-01-01/2023-01-01,0.3,S&P 500,14.390833333333333,17.846666666666668,-3.4558333333333344
42,42,MovingAverageCrossOver,AON,2010-01-01/2023-01-01,0.3,XLF,12.557500000000003,18.260833333333334,-5.703333333333331
43,43,MovingAverageCrossOver,APA,2010-01-01/2023-01-01,0.3,XLE,-7.674166666666668,-2.0741666666666667,-5.600000000000001
44,44,MovingAverageCrossOver,AAPL,2010-01-01/2023-01-01,0.3,XLK,27.372500000000002,29.56833333333334,-2.1958333333333364
45,45,MovingAverageCrossOver,AMAT,2010-01-01/2023-01-01,0.3,XLK,12.899166666666666,24.622500000000002,-11.723333333333336
46,46,MovingAverageCrossOver,APTV,2010-01-01/2023-01-01,0.3,S&P 500,17.09,22.01272727272727,-4.922727272727268
47,47,MovingAverageCrossOver,ACGL,2010-01-01/2023-01-01,0.3,S&P 500,10.200833333333334,16.198333333333334,-5.9975000000000005
48,48,MovingAverageCrossOver,ANET,2010-01-01/2023-01-01,0.3,S&P 500,22.078750000000003,32.14875,-10.069999999999997
49,49,MovingAverageCrossOver,AJG,2010-01-01/2023-01-01,0.3,S&P 500,14.3575,17.721666666666668,-3.3641666666666676
50,50,MovingAverageCrossOver,AIZ,2010-01-01/2023-01-01,0.3,S&P 500,4.3549999999999995,13.908333333333333,-9.553333333333335
51,51,MovingAverageCrossOver,T,2010-01-01/2023-01-01,0.3,XLC,-2.8166666666666664,-0.18166666666666664,-2.635
52,52,MovingAverageCrossOver,ATO,2010-01-01/2023-01-01,0.3,XLU,7.498333333333335,12.428333333333333,-4.929999999999998
53,53,MovingAverageCrossOver,ADSK,2010-01-01/2023-01-01,0.3,S&P 500,10.251666666666663,19.746666666666666,-9.495000000000003
54,54,MovingAverageCrossOver,AZO,2010-01-01/2023-01-01,0.3,XLY,20.403333333333332,23.179999999999996,-2.7766666666666637
55,55,MovingAverageCrossOver,AVB,2010-01-01/2023-01-01,0.3,XLRE,4.897500000000001,7.293333333333332,-2.3958333333333313
56,56,MovingAverageCrossOver,AVY,2010-01-01/2023-01-01,0.3,S&P 500,13.291666666666666,16.05333333333333,-2.761666666666665
57,57,MovingAverageCrossOver,AXON,2010-01-01/2023-01-01,0.3,S&P 500,22.798333333333332,37.93,-15.131666666666668
58,58,MovingAverageCrossOver,BKR,2010-01-01/2023-01-01,0.3,XLE,-0.1475000000000004,-0.2233333333333336,0.0758333333333332
59,59,MovingAverageCrossOver,BALL,2010-01-01/2023-01-01,0.3,S&P 500,8.750833333333333,15.545833333333336,-6.7950000000000035
60,60,MovingAverageCrossOver,BAC,2010-01-01/2023-01-01,0.3,XLF,5.939166666666668,11.860833333333332,-5.921666666666664
61,61,MovingAverageCrossOver,BBWI,2010-01-01/2023-01-01,0.3,S&P 500,13.137500000000001,17.355,-4.217499999999999
62,62,MovingAverageCrossOver,BAX,2010-01-01/2023-01-01,0.3,XLV,0.12249999999999954,8.6525,-8.530000000000001
63,63,MovingAverageCrossOver,BDX,2010-01-01/2023-01-01,0.3,S&P 500,2.7541666666666664,11.208333333333334,-8.454166666666667
64,64,MovingAverageCrossOver,WRB,2010-01-01/2023-01-01,0.3,S&P 500,7.675000000000001,15.824166666666665,-8.149166666666664
66,66,MovingAverageCrossOver,BBY,2010-01-01/2023-01-01,0.3,XLY,3.2516666666666683,10.255833333333332,-7.004166666666663
67,67,MovingAverageCrossOver,BIO,2010-01-01/2023-01-01,0.3,S&P 500,15.399166666666668,17.008333333333336,-1.6091666666666686
68,68,MovingAverageCrossOver,TECH,2010-01-01/2023-01-01,0.3,S&P 500,7.958333333333333,17.895,-9.936666666666667
69,69,MovingAverageCrossOver,BIIB,2010-01-01/2023-01-01,0.3,XLV,13.8825,15.991666666666665,-2.109166666666665
70,70,MovingAverageCrossOver,BLK,2010-01-01/2023-01-01,0.3,XLF,8.396666666666667,13.464166666666666,-5.067499999999999
71,71,MovingAverageCrossOver,BK,2010-01-01/2023-01-01,0.3,XLF,3.7199999999999993,5.879166666666667,-2.159166666666668
72,72,MovingAverageCrossOver,BA,2010-01-01/2023-01-01,0.3,XLI,10.405833333333334,12.500833333333333,-2.094999999999999
73,73,MovingAverageCrossOver,BKNG,2010-01-01/2023-01-01,0.3,XLY,11.488333333333332,20.4725,-8.984166666666669
74,74,MovingAverageCrossOver,BWA,2010-01-01/2023-01-01,0.3,S&P 500,4.583333333333333,7.6674999999999995,-3.0841666666666665
75,75,MovingAverageCrossOver,BXP,2010-01-01/2023-01-01,0.3,XLRE,-3.975,2.5175,-6.4925
76,76,MovingAverageCrossOver,BSX,2010-01-01/2023-01-01,0.3,XLV,7.9775,18.316666666666666,-10.339166666666667
77,77,MovingAverageCrossOver,BMY,2010-01-01/2023-01-01,0.3,XLV,3.4625,9.905833333333334,-6.443333333333333
78,78,MovingAverageCrossOver,AVGO,2010-01-01/2023-01-01,0.3,XLK,21.895833333333332,33.526666666666664,-11.630833333333332
79,79,MovingAverageCrossOver,BR,2010-01-01/2023-01-01,0.3,S&P 500,12.951666666666668,18.75,-5.798333333333332
80,80,MovingAverageCrossOver,BRO,2010-01-01/2023-01-01,0.3,S&P 500,11.368333333333334,16.909166666666668,-5.5408333333333335
82,82,MovingAverageCrossOver,BG,2010-01-01/2023-01-01,0.3,S&P 500,3.345833333333333,7.110833333333335,-3.7650000000000015
83,83,MovingAverageCrossOver,CHRW,2010-01-01/2023-01-01,0.3,S&P 500,-0.9766666666666669,4.609166666666668,-5.585833333333334
84,84,MovingAverageCrossOver,CDNS,2010-01-01/2023-01-01,0.3,S&P 500,17.176666666666666,30.767500000000002,-13.590833333333336
85,85,MovingAverageCrossOver,CZR,2010-01-01/2023-01-01,0.3,S&P 500,29.368750000000002,48.51625,-19.147499999999997
86,86,MovingAverageCrossOver,CPT,2010-01-01/2023-01-01,0.3,S&P 500,5.2299999999999995,10.53,-5.3
87,87,MovingAverageCrossOver,CPB,2010-01-01/2023-01-01,0.3,S&P 500,4.476666666666667,3.6024999999999996,0.874166666666667
88,88,MovingAverageCrossOver,COF,2010-01-01/2023-01-01,0.3,XLF,3.7916666666666674,12.357500000000002,-8.565833333333334
89,89,MovingAverageCrossOver,CAH,2010-01-01/2023-01-01,0.3,S&P 500,2.3558333333333326,6.630833333333334,-4.275000000000002
90,90,MovingAverageCrossOver,KMX,2010-01-01/2023-01-01,0.3,S&P 500,1.629166666666667,13.613333333333332,-11.984166666666665
91,91,MovingAverageCrossOver,CCL,2010-01-01/2023-01-01,0.3,S&P 500,-1.4425,-4.105,2.6625000000000005
92,92,MovingAverageCrossOver,CARR,2010-01-01/2023-01-01,0.3,S&P 500,37.72,31.904999999999998,5.815000000000001
93,93,MovingAverageCrossOver,CTLT,2010-01-01/2023-01-01,0.3,S&P 500,10.39125,21.033749999999998,-10.642499999999998
94,94,MovingAverageCrossOver,CAT,2010-01-01/2023-01-01,0.3,XLI,4.988333333333333,11.714999999999998,-6.726666666666665
95,95,MovingAverageCrossOver,CBOE,2010-01-01/2023-01-01,0.3,S&P 500,8.612499999999999,15.296666666666667,-6.684166666666668
96,96,MovingAverageCrossOver,CBRE,2010-01-01/2023-01-01,0.3,XLRE,9.741666666666665,16.976666666666667,-7.235000000000001
97,97,MovingAverageCrossOver,CDW,2010-01-01/2023-01-01,0.3,S&P 500,9.608888888888892,26.76111111111111,-17.152222222222218
98,98,MovingAverageCrossOver,CE,2010-01-01/2023-01-01,0.3,S&P 500,4.565,13.925833333333332,-9.360833333333332
99,99,MovingAverageCrossOver,CNC,2010-01-01/2023-01-01,0.3,S&P 500,13.034166666666666,27.50583333333333,-14.471666666666666
100,100,MovingAverageCrossOver,CNP,2010-01-01/2023-01-01,0.3,S&P 500,8.006666666666666,7.5125,0.49416666666666575
101,101,MovingAverageCrossOver,CDAY,2010-01-01/2023-01-01,0.3,S&P 500,7.860000000000001,20.935,-13.074999999999998
102,102,MovingAverageCrossOver,CF,2010-01-01/2023-01-01,0.3,XLB,12.8125,20.348333333333333,-7.535833333333333
103,103,MovingAverageCrossOver,CRL,2010-01-01/2023-01-01,0.3,S&P 500,11.938333333333334,20.726666666666663,-8.788333333333329
104,104,MovingAverageCrossOver,SCHW,2010-01-01/2023-01-01,0.3,XLF,9.254166666666666,16.904166666666665,-7.649999999999999
