,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
0,MovingAverageCrossOver,MMM,2010-01-01/2023-01-01,0.3,XLI,3.1508333333333343,5.6000000000000005
1,MovingAverageCrossOver,AOS,2010-01-01/2023-01-01,0.3,XLY,16.066666666666663,19.8325
2,MovingAverageCrossOver,ABT,2010-01-01/2023-01-01,0.3,XLV,7.1499999999999995,14.396666666666667
3,MovingAverageCrossOver,ABBV,2010-01-01/2023-01-01,0.3,XLV,10.046666666666667,15.856666666666667
4,MovingAverageCrossOver,ACN,2010-01-01/2023-01-01,0.3,XLK,10.1875,18.43166666666667
5,MovingAverageCrossOver,ATVI,2010-01-01/2023-01-01,0.3,XLC,12.430833333333334,19.874166666666667
6,MovingAverageCrossOver,ADM,2010-01-01/2023-01-01,0.3,XLP,4.805,10.589166666666669
7,MovingAverageCrossOver,ADBE,2010-01-01/2023-01-01,0.3,XLK,19.57,26.415833333333328
8,MovingAverageCrossOver,ADP,2010-01-01/2023-01-01,0.3,S&P 500,8.559166666666668,16.660833333333336
9,MovingAverageCrossOver,AAP,2010-01-01/2023-01-01,0.3,S&P 500,4.7875,13.335
10,MovingAverageCrossOver,AES,2010-01-01/2023-01-01,0.3,XLU,1.1383333333333334,7.574166666666668
11,MovingAverageCrossOver,AFL,2010-01-01/2023-01-01,0.3,S&P 500,5.978333333333333,8.735000000000001
12,MovingAverageCrossOver,A,2010-01-01/2023-01-01,0.3,XLV,7.616666666666666,16.872500000000002
13,MovingAverageCrossOver,APD,2010-01-01/2023-01-01,0.3,XLB,2.5291666666666663,11.859166666666667
14,MovingAverageCrossOver,AKAM,2010-01-01/2023-01-01,0.3,S&P 500,1.9375000000000007,9.229999999999999
15,MovingAverageCrossOver,ALK,2010-01-01/2023-01-01,0.3,S&P 500,12.659166666666666,17.154166666666665
16,MovingAverageCrossOver,ALB,2010-01-01/2023-01-01,0.3,XLB,11.150833333333331,20.325
17,MovingAverageCrossOver,ARE,2010-01-01/2023-01-01,0.3,XLRE,3.1399999999999992,8.161666666666667
18,MovingAverageCrossOver,ALGN,2010-01-01/2023-01-01,0.3,S&P 500,19.1075,34.79083333333333
19,MovingAverageCrossOver,ALLE,2010-01-01/2023-01-01,0.3,S&P 500,5.595555555555555,11.243333333333332
20,MovingAverageCrossOver,LNT,2010-01-01/2023-01-01,0.3,XLU,5.533333333333332,10.8825
21,MovingAverageCrossOver,ALL,2010-01-01/2023-01-01,0.3,S&P 500,9.236666666666666,13.384166666666665
22,MovingAverageCrossOver,GOOGL,2010-01-01/2023-01-01,0.3,XLC,15.070833333333333,20.890000000000004
23,MovingAverageCrossOver,GOOG,2010-01-01/2023-01-01,0.3,XLC,14.433333333333332,21.032500000000002
24,MovingAverageCrossOver,MO,2010-01-01/2023-01-01,0.3,XLP,1.2424999999999993,7.824166666666667
25,MovingAverageCrossOver,AMZN,2010-01-01/2023-01-01,0.3,XLC,22.915833333333328,29.77916666666667
26,MovingAverageCrossOver,AMCR,2010-01-01/2023-01-01,0.3,S&P 500,0.647,4.917
27,MovingAverageCrossOver,AMD,2010-01-01/2023-01-01,0.3,XLK,34.06416666666666,36.42999999999999
28,MovingAverageCrossOver,AEE,2010-01-01/2023-01-01,0.3,XLU,3.5025,10.671666666666667
29,MovingAverageCrossOver,AAL,2010-01-01/2023-01-01,0.3,S&P 500,15.915000000000001,13.271666666666667
30,MovingAverageCrossOver,AEP,2010-01-01/2023-01-01,0.3,XLU,2.93,8.958333333333332
31,MovingAverageCrossOver,AXP,2010-01-01/2023-01-01,0.3,XLF,12.7025,13.660833333333331
32,MovingAverageCrossOver,AIG,2010-01-01/2023-01-01,0.3,XLF,9.093333333333332,6.06
33,MovingAverageCrossOver,AMT,2010-01-01/2023-01-01,0.3,XLRE,8.556666666666667,15.328333333333333
34,MovingAverageCrossOver,AWK,2010-01-01/2023-01-01,0.3,XLU,12.539166666666667,17.805833333333332
35,MovingAverageCrossOver,AMP,2010-01-01/2023-01-01,0.3,S&P 500,18.809166666666666,19.107499999999998
36,MovingAverageCrossOver,ABC,2010-01-01/2023-01-01,0.3,S&P 500,12.231666666666667,15.886666666666665
37,MovingAverageCrossOver,AME,2010-01-01/2023-01-01,0.3,XLI,11.303333333333333,17.585
38,MovingAverageCrossOver,AMGN,2010-01-01/2023-01-01,0.3,XLV,4.141666666666667,13.885833333333332
39,MovingAverageCrossOver,APH,2010-01-01/2023-01-01,0.3,XLK,10.432500000000001,17.445833333333333
40,MovingAverageCrossOver,ADI,2010-01-01/2023-01-01,0.3,XLK,2.2199999999999993,15.290000000000001
41,MovingAverageCrossOver,ANSS,2010-01-01/2023-01-01,0.3,S&P 500,14.390833333333333,17.846666666666668
42,MovingAverageCrossOver,AON,2010-01-01/2023-01-01,0.3,XLF,12.557500000000003,18.260833333333334
43,MovingAverageCrossOver,APA,2010-01-01/2023-01-01,0.3,XLE,-7.674166666666668,-2.0741666666666667
44,MovingAverageCrossOver,AAPL,2010-01-01/2023-01-01,0.3,XLK,27.372500000000002,29.56833333333334
45,MovingAverageCrossOver,AMAT,2010-01-01/2023-01-01,0.3,XLK,12.899166666666666,24.622500000000002
46,MovingAverageCrossOver,APTV,2010-01-01/2023-01-01,0.3,S&P 500,17.09,22.01272727272727
47,MovingAverageCrossOver,ACGL,2010-01-01/2023-01-01,0.3,S&P 500,10.200833333333334,16.198333333333334
48,MovingAverageCrossOver,ANET,2010-01-01/2023-01-01,0.3,S&P 500,22.078750000000003,32.14875
49,MovingAverageCrossOver,AJG,2010-01-01/2023-01-01,0.3,S&P 500,14.3575,17.721666666666668
50,MovingAverageCrossOver,AIZ,2010-01-01/2023-01-01,0.3,S&P 500,4.3549999999999995,13.908333333333333
51,MovingAverageCrossOver,T,2010-01-01/2023-01-01,0.3,XLC,-2.8166666666666664,-0.18166666666666664
52,MovingAverageCrossOver,ATO,2010-01-01/2023-01-01,0.3,XLU,7.498333333333335,12.428333333333333
53,MovingAverageCrossOver,ADSK,2010-01-01/2023-01-01,0.3,S&P 500,10.251666666666663,19.746666666666666
54,MovingAverageCrossOver,AZO,2010-01-01/2023-01-01,0.3,XLY,20.403333333333332,23.179999999999996
55,MovingAverageCrossOver,AVB,2010-01-01/2023-01-01,0.3,XLRE,4.897500000000001,7.293333333333332
56,MovingAverageCrossOver,AVY,2010-01-01/2023-01-01,0.3,S&P 500,13.291666666666666,16.05333333333333
57,MovingAverageCrossOver,AXON,2010-01-01/2023-01-01,0.3,S&P 500,22.798333333333332,37.93
58,MovingAverageCrossOver,BKR,2010-01-01/2023-01-01,0.3,XLE,-0.1475000000000004,-0.2233333333333336
59,MovingAverageCrossOver,BALL,2010-01-01/2023-01-01,0.3,S&P 500,8.750833333333333,15.545833333333336
60,MovingAverageCrossOver,BAC,2010-01-01/2023-01-01,0.3,XLF,5.939166666666668,11.860833333333332
61,MovingAverageCrossOver,BBWI,2010-01-01/2023-01-01,0.3,S&P 500,13.137500000000001,17.355
62,MovingAverageCrossOver,BAX,2010-01-01/2023-01-01,0.3,XLV,0.12249999999999954,8.6525
63,MovingAverageCrossOver,BDX,2010-01-01/2023-01-01,0.3,S&P 500,2.7541666666666664,11.208333333333334
64,MovingAverageCrossOver,WRB,2010-01-01/2023-01-01,0.3,S&P 500,7.675000000000001,15.824166666666665
65,MovingAverageCrossOver,BRK.B,2010-01-01/2023-01-01,0.3,XLF,none,none
66,MovingAverageCrossOver,BBY,2010-01-01/2023-01-01,0.3,XLY,3.2516666666666683,10.255833333333332
67,MovingAverageCrossOver,BIO,2010-01-01/2023-01-01,0.3,S&P 500,15.399166666666668,17.008333333333336
68,MovingAverageCrossOver,TECH,2010-01-01/2023-01-01,0.3,S&P 500,7.958333333333333,17.895
69,MovingAverageCrossOver,BIIB,2010-01-01/2023-01-01,0.3,XLV,13.8825,15.991666666666665
70,MovingAverageCrossOver,BLK,2010-01-01/2023-01-01,0.3,XLF,8.396666666666667,13.464166666666666
71,MovingAverageCrossOver,BK,2010-01-01/2023-01-01,0.3,XLF,3.7199999999999993,5.879166666666667
72,MovingAverageCrossOver,BA,2010-01-01/2023-01-01,0.3,XLI,10.405833333333334,12.500833333333333
73,MovingAverageCrossOver,BKNG,2010-01-01/2023-01-01,0.3,XLY,11.488333333333332,20.4725
74,MovingAverageCrossOver,BWA,2010-01-01/2023-01-01,0.3,S&P 500,4.583333333333333,7.6674999999999995
75,MovingAverageCrossOver,BXP,2010-01-01/2023-01-01,0.3,XLRE,-3.975,2.5175
76,MovingAverageCrossOver,BSX,2010-01-01/2023-01-01,0.3,XLV,7.9775,18.316666666666666
77,MovingAverageCrossOver,BMY,2010-01-01/2023-01-01,0.3,XLV,3.4625,9.905833333333334
78,MovingAverageCrossOver,AVGO,2010-01-01/2023-01-01,0.3,XLK,21.895833333333332,33.526666666666664
79,MovingAverageCrossOver,BR,2010-01-01/2023-01-01,0.3,S&P 500,12.951666666666668,18.75
80,MovingAverageCrossOver,BRO,2010-01-01/2023-01-01,0.3,S&P 500,11.368333333333334,16.909166666666668
81,MovingAverageCrossOver,BF.B,2010-01-01/2023-01-01,0.3,S&P 500,none,none
82,MovingAverageCrossOver,BG,2010-01-01/2023-01-01,0.3,S&P 500,3.345833333333333,7.110833333333335
83,MovingAverageCrossOver,CHRW,2010-01-01/2023-01-01,0.3,S&P 500,-0.9766666666666669,4.609166666666668
84,MovingAverageCrossOver,CDNS,2010-01-01/2023-01-01,0.3,S&P 500,17.176666666666666,30.767500000000002
85,MovingAverageCrossOver,CZR,2010-01-01/2023-01-01,0.3,S&P 500,29.368750000000002,48.51625
86,MovingAverageCrossOver,CPT,2010-01-01/2023-01-01,0.3,S&P 500,5.2299999999999995,10.53
87,MovingAverageCrossOver,CPB,2010-01-01/2023-01-01,0.3,S&P 500,4.476666666666667,3.6024999999999996
88,MovingAverageCrossOver,COF,2010-01-01/2023-01-01,0.3,XLF,3.7916666666666674,12.357500000000002
89,MovingAverageCrossOver,CAH,2010-01-01/2023-01-01,0.3,S&P 500,2.3558333333333326,6.630833333333334
90,MovingAverageCrossOver,KMX,2010-01-01/2023-01-01,0.3,S&P 500,1.629166666666667,13.613333333333332
91,MovingAverageCrossOver,CCL,2010-01-01/2023-01-01,0.3,S&P 500,-1.4425,-4.105
92,MovingAverageCrossOver,CARR,2010-01-01/2023-01-01,0.3,S&P 500,37.72,31.904999999999998
93,MovingAverageCrossOver,CTLT,2010-01-01/2023-01-01,0.3,S&P 500,10.39125,21.033749999999998
94,MovingAverageCrossOver,CAT,2010-01-01/2023-01-01,0.3,XLI,4.988333333333333,11.714999999999998
95,MovingAverageCrossOver,CBOE,2010-01-01/2023-01-01,0.3,S&P 500,8.612499999999999,15.296666666666667
96,MovingAverageCrossOver,CBRE,2010-01-01/2023-01-01,0.3,XLRE,9.741666666666665,16.976666666666667
