Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LIN,Linde plc,19.60%,374.71,-9.56,-2.49%,1.61 M,262.47 - 384.55
APD,Air Products & Chemicals Inc,7.09%,298.59,+0.33,+0.11%,0.68 M,224.75 - 328.56
SHW,Sherwin-Williams Co,6.72%,268.01,+0.32,+0.12%,1.39 M,195.24 - 271.18
FCX,Freeport-McMoRan Inc,6.23%,40.67,+0.26,+0.64%,15 M,26.03 - 46.73
ECL,Ecolab Inc,4.96%,187.28,-1.33,-0.71%,0.66 M,131.04 - 189.90
NUE,Nucor Corp,4.49%,167.12,-4.16,-2.43%,1.09 M,102.86 - 182.68
CTVA,Corteva Inc.,4.27%,56.19,+1.09,+1.98%,4.54 M,52.76 - 68.43
DOW,Dow Inc,3.99%,52.82,-0.16,-0.30%,3.73 M,42.91 - 60.88
NEM,Newmont Corp,3.84%,45.18,+0.20,+0.44%,6.25 M,37.45 - 60.08
PPG,PPG Industries Inc,3.78%,150.26,-1.11,-0.73%,1.52 M,107.40 - 152.89
DD,DuPont de Nemours Inc.,3.69%,75.16,+0.61,+0.82%,3.43 M,49.52 - 78.40
VMC,Vulcan Materials Co,3.15%,221.34,-2.56,-1.14%,0.79 M,147.64 - 226.19
MLM,Martin Marietta Materials,3.01%,454.26,-7.73,-1.67%,0.34 M,298.32 - 462.70
ALB,Albemarle Corp,2.92%,232.52,-4.51,-1.90%,1.24 M,171.82 - 334.55
LYB,LyondellBasell Industries N.V.,2.47%,91.25,+0.46,+0.51%,2.89 M,71.46 - 101.30
IFF,Intl Flavors & Fragrances,2.29%,84.07,+1.76,+2.14%,2.72 M,75.18 - 129.20
BALL,Ball Corp,1.92%,57.00,+0.82,+1.46%,1.38 M,46.00 - 74.35
STLD,Steel Dynamics Inc,1.81%,105.30,-3.42,-3.15%,1.66 M,65.89 - 136.46
CF,CF Industries Holdings,1.63%,78.28,+1.93,+2.53%,3.77 M,60.08 - 119.60
AMCR,Amcor plc,1.57%,9.98,+0.03,+0.30%,5.53 M,9.40 - 13.37
AVY,Avery Dennison Corp,1.53%,177.42,+0.08,+0.05%,0.49 M,157.28 - 204.37
MOS,Mosaic Co,1.35%,38.03,+0.50,+1.33%,5.19 M,31.44 - 63.16
CE,Celanese Corp A,1.31%,122.50,-1.13,-0.91%,1.02 M,86.71 - 128.36
PKG,Packaging Corp of America,1.31%,135.87,+0.46,+0.34%,0.59 M,110.56 - 146.27
FMC,FMC Corp,1.28%,95.63,+0.06,+0.06%,1.18 M,88.77 - 134.38
IP,Intl Paper Co,1.17%,31.56,+0.20,+0.64%,3.05 M,29.01 - 45.18
EMN,Eastman Chemical Co,1.12%,88.35,+0.36,+0.41%,0.72 M,69.91 - 102.18
WRK,WestRock Co,0.83%,30.22,+0.46,+1.55%,1.6 M,26.84 - 43.37
SEE,Sealed Air Corp,0.71%,45.95,+1.16,+2.59%,1.73 M,37.34 - 62.14
