Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
META,"Meta Platforms, Inc. Class A",25.71%,316.01,+3.96,+1.27%,21.76 M,88.09 - 318.68
GOOGL,Alphabet Inc A,11.54%,122.03,-1.73,-1.40%,37.22 M,83.34 - 129.04
GOOG,Alphabet Inc C,9.99%,122.78,-1.30,-1.05%,22.31 M,83.45 - 129.55
ATVI,Activision Blizzard Inc,4.84%,92.20,-0.54,-0.58%,40 M,70.94 - 93.67
NFLX,NetFlix Inc,4.80%,477.59,+2.79,+0.59%,21 M,200.10 - 485.00
CMCSA,Comcast Corp A,4.48%,42.71,+0.27,+0.64%,18.65 M,28.39 - 43.72
TMUS,T-Mobile US Inc,4.42%,137.58,-0.87,-0.63%,4.86 M,124.92 - 154.38
CHTR,Charter Communications Inc A,4.10%,388.57,+1.51,+0.39%,2.31 M,297.66 - 496.37
VZ,Verizon Communications Inc,4.04%,33.97,+1.70,+5.27%,61.88 M,31.25 - 50.55
DIS,Walt Disney Co,3.99%,87.04,+1.09,+1.27%,17.18 M,84.07 - 126.48
T,AT&T Inc,3.86%,14.59,+1.14,+8.48%,142.14 M,13.43 - 22.84
EA,Electronic Arts,3.62%,136.84,-2.03,-1.46%,2.29 M,108.53 - 140.30
WBD,Warner Bros Discovery Inc.,2.99%,13.28,+0.51,+3.99%,19.7 M,8.82 - 17.65
TTWO,Take-Two Interactive Software,2.45%,152.01,-1.54,-1.00%,1.02 M,90.00 - 153.84
OMC,Omnicom Group,1.78%,87.78,-10.14,-10.36%,8.15 M,61.85 - 99.23
IPG,Interpublic Group Cos,1.48%,37.66,-3.22,-7.88%,8.57 M,25.14 - 40.95
LYV,Live Nation Entertainment Inc.,1.40%,95.64,-1.99,-2.04%,2.33 M,64.25 - 99.66
MTCH,"Match Group, Inc.",1.34%,47.53,-0.42,-0.88%,4.34 M,30.73 - 77.77
FOXA,Fox Corp A,0.92%,33.72,-0.28,-0.82%,4.91 M,28.02 - 37.26
PARA,Paramount Global Class B,0.83%,16.04,+0.52,+3.35%,12.85 M,13.80 - 27.49
NWSA,News Corp A,0.78%,20.15,-0.44,-2.14%,2.03 M,14.87 - 21.69
FOX,Fox Corp B,0.44%,31.68,-0.19,-0.60%,0.68 M,26.35 - 34.42
NWS,News Corp B,0.24%,20.39,-0.42,-2.02%,0.56 M,15.15 - 21.86
