Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
XOM,Exxon Mobil Corp,21.27%,101.62,+0.70,+0.69%,15.56 M,83.89 - 119.92
CVX,Chevron Corp,18.66%,154.69,+0.94,+0.61%,5.65 M,140.46 - 189.68
SLB,Schlumberger Ltd,5.66%,57.36,+0.38,+0.67%,13.07 M,32.26 - 62.78
COP,ConocoPhillips,4.63%,109.48,+0.73,+0.67%,5.41 M,86.87 - 138.49
EOG,EOG Resources,4.63%,122.44,-0.33,-0.27%,2.19 M,97.39 - 150.88
MPC,Marathon Petroleum Corp.,4.02%,122.11,+2.68,+2.24%,2.88 M,83.62 - 138.83
PXD,Pioneer Natural Resources,3.81%,210.11,-1.02,-0.48%,1.27 M,177.27 - 274.70
PSX,Phillips 66,3.65%,102.46,+1.30,+1.29%,3.05 M,74.02 - 113.53
OXY,Occidental Petroleum,3.36%,60.16,+0.08,+0.13%,7.57 M,55.51 - 77.13
VLO,Valero Energy Corp,3.31%,118.02,+2.60,+2.25%,2.8 M,97.73 - 160.16
WMB,The Williams Companies Inc,3.15%,33.32,-0.02,-0.06%,5.4 M,27.80 - 35.79
HES,Hess Corp,2.94%,137.26,+0.61,+0.45%,1.69 M,98.27 - 160.52
BKR,Baker Hughes Company,2.77%,35.20,+0.16,+0.46%,12.99 M,20.42 - 35.87
KMI,Kinder Morgan Inc,2.65%,17.29,+0.01,+0.06%,12.29 M,16.00 - 19.36
HAL,Halliburton Co,2.59%,37.01,-1.10,-2.89%,15.32 M,23.30 - 43.42
DVN,Devon Energy Corp,2.52%,50.62,+0.11,+0.22%,8.25 M,44.03 - 78.82
OKE,ONEOK Inc,2.25%,64.77,+0.45,+0.70%,2.31 M,50.50 - 71.57
FANG,Diamondback Energy Inc,1.95%,138.90,+0.09,+0.06%,1.34 M,110.97 - 168.95
CTRA,Coterra Energy Inc,1.56%,26.50,+0.04,+0.15%,4.75 M,22.25 - 32.47
TRGP,Targa Resources Corp,1.38%,78.74,+0.27,+0.34%,0.98 M,57.23 - 79.99
MRO,Marathon Oil Corp,1.19%,24.87,+0.07,+0.28%,10.73 M,20.57 - 33.42
EQT,EQT Corporation,1.12%,39.87,+0.23,+0.58%,5.7 M,28.11 - 51.97
APA,APA Corporation,0.91%,38.03,+0.15,+0.40%,3.5 M,30.15 - 50.58
