Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
RTX,Raytheon Technologies Corp,4.33%,95.57,-0.19,-0.20%,4.13 M,80.27 - 108.84
HON,Honeywell Intl Inc,4.24%,205.17,-0.08,-0.04%,2.51 M,166.63 - 220.96
CAT,Caterpillar Inc,4.20%,262.75,-1.06,-0.40%,2.77 M,160.60 - 266.04
UPS,United Parcel Service Inc B,4.18%,186.02,+1.45,+0.79%,3.02 M,154.87 - 209.39
UNP,Union Pacific Corp,4.05%,214.25,+1.63,+0.77%,2.04 M,183.69 - 242.36
GE,General Electric Co,3.71%,109.89,-1.17,-1.05%,4.47 M,48.07 - 112.15
BA,Boeing Co,3.66%,208.60,-2.97,-1.40%,4.81 M,120.99 - 223.91
DE,Deere & Co,3.65%,436.17,+4.61,+1.07%,1.66 M,308.61 - 448.40
LMT,Lockheed Martin,3.16%,451.51,-4.19,-0.92%,2.14 M,381.55 - 508.10
ADP,Automatic Data Processing,3.04%,237.33,+1.43,+0.61%,1.82 M,201.46 - 274.92
ETN,Eaton Corp plc,2.60%,209.81,-0.53,-0.25%,2.52 M,129.85 - 211.20
ITW,Illinois Tool Works Inc,2.19%,254.96,+0.50,+0.20%,0.93 M,180.27 - 255.65
CSX,CSX Corporation,2.13%,33.80,+0.05,+0.15%,10.63 M,25.80 - 34.71
NOC,Northrop Grumman Corp,1.96%,442.28,-0.40,-0.09%,0.93 M,429.10 - 556.27
WM,Waste Management Inc,1.91%,166.70,+0.09,+0.05%,1.48 M,148.31 - 175.98
FDX,FedEx Corp,1.87%,260.26,-1.71,-0.65%,2.66 M,141.92 - 265.60
MMM,3M Co,1.77%,103.48,+0.47,+0.46%,2.09 M,92.38 - 152.30
NSC,Norfolk Southern Corp,1.68%,237.41,+2.27,+0.97%,0.81 M,196.33 - 264.22
EMR,Emerson Electric Co,1.63%,91.67,-0.13,-0.14%,1.96 M,72.41 - 99.65
PH,Parker-Hannifin Corp,1.61%,403.68,-4.88,-1.19%,0.7 M,235.69 - 409.62
GD,General Dynamics,1.49%,213.55,+0.03,+0.01%,1.23 M,202.35 - 256.86
JCI,Johnson Controls International plc,1.48%,69.47,+0.02,+0.03%,3 M,48.37 - 69.73
PCAR,PACCAR Inc,1.44%,89.01,-0.41,-0.46%,2.69 M,54.64 - 89.58
TDG,TransDigm Group,1.44%,886.35,-10.45,-1.17%,0.23 M,499.63 - 899.97
CARR,Carrier Global Corp.,1.43%,55.23,-0.01,-0.02%,6.12 M,33.10 - 55.58
TT,Trane Technologies plc,1.39%,195.85,-3.35,-1.68%,1.21 M,131.77 - 199.83
CTAS,Cintas Corp,1.35%,504.06,+0.33,+0.07%,0.57 M,370.93 - 506.20
PAYX,Paychex Inc,1.23%,123.31,+1.12,+0.92%,1.48 M,104.09 - 139.47
CPRT,Copart Inc,1.23%,92.20,-1.31,-1.40%,2.26 M,52.29 - 94.77
ROK,Rockwell Automation Inc,1.23%,344.00,-2.89,-0.83%,0.64 M,208.73 - 348.52
LHX,L3Harris Technologies Inc,1.17%,198.83,+2.52,+1.28%,1.06 M,174.55 - 255.10
CMI,Cummins Inc,1.14%,258.85,-0.30,-0.12%,0.65 M,200.34 - 261.91
OTIS,Otis Worldwide Corp,1.13%,88.08,-0.45,-0.51%,1.78 M,62.49 - 90.11
AME,AMETEK Inc,1.13%,157.48,-1.39,-0.87%,0.89 M,110.87 - 162.69
ODFL,Old Dominion Freight Line Inc,1.10%,395.20,+1.00,+0.25%,1.2 M,240.00 - 411.57
GWW,W.W. Grainger Inc,1.06%,766.05,+5.84,+0.77%,0.3 M,462.62 - 811.60
VRSK,Verisk Analytics Inc,1.03%,228.21,-0.77,-0.34%,0.86 M,162.94 - 231.40
FAST,Fastenal Co,1.02%,57.29,+0.50,+0.88%,3.94 M,43.73 - 59.43
URI,United Rentals Inc,0.98%,460.49,-4.01,-0.86%,0.65 M,256.23 - 481.99
DAL,Delta Air Lines,0.97%,48.55,+0.18,+0.37%,9.05 M,27.20 - 49.81
RSG,Republic Services Inc,0.95%,149.47,+0.41,+0.28%,1.15 M,120.58 - 153.39
EFX,Equifax Inc,0.90%,237.49,-0.32,-0.13%,0.83 M,145.98 - 240.35
PWR,Quanta Services Inc,0.90%,199.95,+0.34,+0.17%,0.54 M,123.25 - 202.49
XYL,Xylem Inc,0.83%,111.46,+0.55,+0.50%,1.18 M,80.56 - 118.58
IR,Ingersoll Rand Inc.,0.82%,65.72,-1.30,-1.94%,2.94 M,42.20 - 67.18
FTV,Fortive Corp,0.82%,74.36,-0.20,-0.27%,1.67 M,56.62 - 75.47
LUV,Southwest Airlines Co,0.69%,37.35,+0.61,+1.66%,6.49 M,28.40 - 41.76
DOV,Dover Corp,0.65%,150.13,-0.21,-0.14%,0.6 M,114.49 - 160.66
