Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
MSFT,Microsoft Corp,23.04%,355.08,-4.41,-1.23%,39.73 M,213.43 - 366.78
AAPL,Apple Inc.,22.86%,195.10,+1.37,+0.71%,80.51 M,124.17 - 198.23
NVDA,Nvidia Corp,5.04%,470.77,-4.17,-0.88%,42.75 M,108.13 - 480.88
AVGO,Broadcom Inc,4.39%,901.37,-2.06,-0.23%,2.41 M,415.07 - 921.78
ADBE,Adobe Inc.,2.83%,527.17,-5.06,-0.95%,3.38 M,274.73 - 539.00
CRM,"Salesforce, Inc.",2.68%,234.37,+6.74,+2.96%,8.52 M,126.34 - 238.22
CSCO,Cisco Systems Inc,2.51%,52.43,+1.19,+2.32%,21.74 M,38.61 - 52.56
ACN,Accenture plc A,2.35%,318.80,-3.63,-1.13%,2.17 M,242.80 - 327.93
AMD,Advanced Micro Devices,2.19%,116.43,-1.50,-1.27%,70.36 M,54.57 - 132.83
ORCL,Oracle Corp,2.13%,118.69,-2.08,-1.72%,7.61 M,60.78 - 127.54
TXN,Texas Instruments Inc,1.95%,183.67,-0.01,-0.01%,3.69 M,145.97 - 186.30
INTC,Intel Corp,1.68%,34.46,-0.04,-0.12%,26.49 M,24.59 - 40.67
INTU,Intuit Inc,1.64%,500.56,+5.13,+1.04%,2 M,352.63 - 508.09
QCOM,QUALCOMM Inc,1.62%,124.42,+1.56,+1.27%,8.87 M,101.47 - 156.66
IBM,Intl Business Machines Corp,1.44%,135.48,+0.12,+0.09%,5.52 M,115.55 - 153.21
NOW,ServiceNow Inc.,1.44%,603.25,+6.12,+1.02%,1.74 M,337.00 - 614.36
AMAT,Applied Materials Inc,1.40%,141.78,-2.73,-1.89%,5.38 M,71.12 - 146.69
ADI,Analog Devices Inc,1.16%,195.79,-0.71,-0.36%,2.04 M,133.48 - 199.44
LRCX,Lam Research Corp,1.01%,640.11,-15.83,-2.41%,0.93 M,299.59 - 663.83
PANW,Palo Alto Networks Inc.,0.87%,246.00,-2.34,-0.94%,3.22 M,132.22 - 258.88
MU,Micron Technology Inc,0.83%,64.96,+0.02,+0.03%,9.46 M,48.43 - 74.77
SNPS,Synopsys Inc,0.81%,457.33,-5.60,-1.21%,0.69 M,267.00 - 468.03
CDNS,Cadence Design Systems Inc,0.77%,242.49,-1.60,-0.66%,1.38 M,138.76 - 245.58
KLAC,KLA Corporation,0.75%,470.59,-13.47,-2.78%,1.14 M,250.20 - 493.53
NXPI,NXP Semiconductor NV,0.67%,220.28,-3.38,-1.51%,2.21 M,132.08 - 224.40
ROP,"Roper Technologies, Inc",0.60%,482.63,+2.43,+0.51%,0.57 M,356.22 - 483.20
FTNT,Fortinet Inc,0.60%,78.69,-1.55,-1.93%,5.98 M,42.61 - 81.24
APH,Amphenol Corp A,0.59%,85.13,-0.18,-0.21%,1.86 M,65.21 - 85.89
MCHP,Microchip Technology Inc,0.59%,91.73,-1.61,-1.72%,2.55 M,54.77 - 93.58
MSI,Motorola Solutions Inc,0.57%,291.96,+1.25,+0.43%,0.45 M,212.76 - 299.43
ADSK,Autodesk Inc,0.55%,219.07,+1.83,+0.84%,1.87 M,179.61 - 235.01
TEL,TE Connectivity Ltd.,0.53%,143.09,+0.52,+0.36%,1.43 M,104.76 - 143.74
ANET,Arista Networks Inc,0.51%,176.26,+2.75,+1.58%,2.41 M,98.20 - 178.36
ON,On Semiconductor Corp,0.51%,101.91,-2.93,-2.79%,6.1 M,54.93 - 105.35
CTSH,Cognizant Tech Solutions Corp,0.41%,69.09,-0.08,-0.12%,2.9 M,51.33 - 70.87
KEYS,Keysight Technologies Inc,0.36%,172.58,+2.69,+1.58%,1.09 M,139.63 - 189.45
ANSS,ANSYS Inc,0.35%,348.81,-0.17,-0.05%,0.33 M,194.23 - 351.23
IT,Gartner Inc,0.34%,367.68,-6.36,-1.70%,0.31 M,246.65 - 377.88
HPQ,HP Inc,0.33%,32.93,+0.15,+0.46%,4.69 M,24.08 - 35.32
MPWR,Monolithic Power Systems,0.30%,574.51,-13.60,-2.31%,0.51 M,301.69 - 595.98
GLW,Corning Inc,0.30%,33.60,-0.03,-0.09%,4.04 M,28.98 - 37.73
CDW,CDW Corp,0.30%,189.75,+1.51,+0.80%,0.48 M,147.91 - 215.00
ENPH,Enphase Energy Inc,0.30%,185.49,+1.44,+0.78%,2.99 M,152.15 - 339.92
HPE,Hewlett Packard Enterprise Co,0.26%,17.27,-0.19,-1.09%,13.07 M,11.90 - 17.74
FICO,Fair Isaac & Co Inc,0.25%,844.85,+1.18,+0.14%,0.15 M,389.84 - 849.37
FSLR,First Solar Inc,0.23%,198.58,-2.99,-1.48%,1.19 M,70.37 - 232.00
VRSN,VeriSign Inc,0.23%,215.01,-0.45,-0.21%,0.54 M,169.24 - 229.72
TDY,Teledyne Technologies Inc,0.22%,406.68,-2.11,-0.52%,0.31 M,325.00 - 448.71
SWKS,Skyworks Solutions Inc,0.21%,114.50,-0.54,-0.47%,1.06 M,76.16 - 123.69
TER,Teradyne Inc,0.21%,115.31,-1.84,-1.57%,1.41 M,67.81 - 117.64
TYL,Tyler Technologies Inc,0.20%,417.64,-4.49,-1.06%,0.22 M,281.11 - 426.83
NTAP,NetApp Inc,0.20%,79.31,+0.39,+0.49%,1.82 M,58.08 - 79.61
ZBRA,Zebra Technologies Corp,0.19%,318.37,+5.20,+1.66%,0.26 M,224.87 - 365.97
PTC,PTC Inc,0.18%,146.64,-0.14,-0.10%,0.41 M,101.82 - 147.83
SEDG,SolarEdge Technologies Inc,0.18%,273.75,-0.41,-0.15%,0.69 M,190.15 - 375.90
EPAM,EPAM Systems Inc,0.17%,249.81,+4.10,+1.67%,0.49 M,197.99 - 462.99
AKAM,Akamai Technologies Inc,0.17%,93.98,+0.18,+0.19%,1.26 M,70.65 - 98.81
TRMB,Trimble Inc,0.16%,53.67,+0.63,+1.19%,1.18 M,45.43 - 72.24
WDC,Western Digital Corp,0.15%,38.93,+0.47,+1.22%,3.23 M,29.73 - 50.95
STX,Seagate Technology,0.13%,59.86,-1.53,-2.49%,2.14 M,47.47 - 83.78
GEN,Gen Digital Inc.,0.13%,19.32,+0.10,+0.52%,2.53 M,15.45 - 26.83
QRVO,"Qorvo, Inc",0.12%,105.84,-0.93,-0.87%,0.65 M,75.38 - 114.59
JNPR,Juniper Networks Inc,0.11%,30.22,+0.28,+0.94%,3.97 M,25.18 - 34.53
FFIV,"F5, Inc.",0.11%,150.70,+0.95,+0.63%,0.41 M,127.05 - 174.38
DXC,DXC Technology Company,0.08%,28.19,-0.11,-0.39%,1.08 M,22.11 - 31.99
