Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
PG,Procter & Gamble,14.21%,150.29,+1.02,+0.68%,6.2 M,122.18 - 158.11
PEP,PepsiCo Inc,10.30%,186.26,+1.81,+0.98%,4.14 M,160.98 - 196.88
COST,Costco Wholesale Corp,9.86%,554.11,+0.52,+0.09%,1.26 M,447.90 - 564.75
KO,Coca-Cola Co,9.63%,61.64,+1.07,+1.77%,12.94 M,54.02 - 65.47
PM,Philip Morris International,4.68%,98.77,+0.42,+0.43%,7.65 M,82.85 - 105.62
WMT,Walmart Inc.,4.43%,154.62,+0.05,+0.03%,4.12 M,120.06 - 159.12
MDLZ,Mondelez International Inc,4.40%,73.21,+1.11,+1.54%,6.21 M,54.72 - 78.59
MO,Altria Group Inc,3.72%,45.38,-0.01,-0.02%,6.1 M,40.35 - 51.57
CL,Colgate-Palmolive Co,2.91%,76.42,+0.58,+0.76%,5.72 M,67.84 - 83.81
TGT,Target Corp,2.81%,132.70,+1.89,+1.44%,3.23 M,125.08 - 183.89
KMB,Kimberly-Clark,2.09%,135.35,+1.45,+1.08%,1.69 M,108.74 - 147.87
EL,Estee Lauder Cos. A,2.03%,190.97,+2.79,+1.48%,3.22 M,175.05 - 284.45
GIS,General Mills Inc,2.03%,75.21,+0.90,+1.21%,3.41 M,72.16 - 90.89
ADM,Archer-Daniels-Midland Co,2.02%,81.00,+0.25,+0.31%,2.33 M,69.92 - 98.28
MNST,Monster Beverage Corp New,2.01%,57.25,+0.70,+1.24%,4.21 M,42.81 - 60.47
STZ,Constellation Brands Inc A,1.98%,267.93,+13.60,+5.35%,3.23 M,208.12 - 269.38
SYY,Sysco Corp,1.72%,74.15,+1.67,+2.30%,2.6 M,69.22 - 88.84
DG,Dollar General Corp,1.67%,166.25,+1.76,+1.07%,2.33 M,151.27 - 261.59
HSY,Hershey Foods Corp,1.64%,242.66,+2.82,+1.18%,1.13 M,211.49 - 276.88
DLTR,Dollar Tree Inc,1.44%,150.84,+1.96,+1.32%,1.48 M,128.85 - 175.68
KR,Kroger Co,1.41%,46.98,+0.77,+1.67%,4.85 M,41.82 - 52.00
KHC,The Kraft Heinz Company,1.32%,36.14,+0.63,+1.77%,8.15 M,32.73 - 42.80
KDP,Keurig Dr Pepper Inc,1.23%,31.89,+0.33,+1.05%,5.17 M,30.47 - 41.31
CHD,Church & Dwight Co,1.10%,98.27,+0.09,+0.09%,1.72 M,70.16 - 100.52
MKC,McCormick & Co,0.99%,86.06,+0.63,+0.74%,1.18 M,70.60 - 94.39
WBA,Walgreens Boots Alliance Inc,0.98%,29.93,+0.35,+1.18%,6.16 M,28.14 - 42.29
CLX,Clorox Co,0.88%,154.74,+0.72,+0.47%,0.8 M,124.58 - 178.21
K,Kellogg Co,0.79%,67.18,+0.56,+0.84%,2.14 M,63.74 - 77.17
LW,Lamb Weston Holdings Inc,0.75%,112.37,+0.33,+0.29%,1.09 M,73.61 - 116.00
SJM,J.M. Smucker Co,0.73%,149.69,+1.97,+1.33%,0.61 M,125.83 - 163.07
BG,Bunge Ltd,0.72%,103.93,+0.95,+0.92%,1.11 M,80.41 - 106.99
CAG,"Conagra Brands, Inc",0.71%,32.57,+0.38,+1.18%,4.22 M,32.05 - 41.30
TSN,Tyson Foods Inc A,0.68%,52.27,+0.78,+1.51%,3.4 M,47.11 - 88.76
TAP,Molson Coors Beverage Co B,0.60%,69.18,+1.28,+1.89%,1.83 M,46.69 - 69.29
BF.b,Brown-Forman Corp B,0.58%,68.62,+1.32,+1.96%,1.22 M,60.90 - 78.15
HRL,Hormel Foods Corp,0.53%,39.56,+0.23,+0.58%,1.54 M,37.78 - 51.69
CPB,Campbell Soup Co,0.42%,45.89,+1.03,+2.30%,2.59 M,44.76 - 57.78
