Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
PLD,ProLogis Inc,11.96%,122.78,-1.22,-0.98%,3.59 M,98.03 - 138.86
AMT,American Tower Corp A,9.29%,189.11,+3.32,+1.79%,3.38 M,178.17 - 282.47
EQIX,Equinix Inc,8.02%,812.73,+16.74,+2.10%,0.36 M,494.89 - 816.22
CCI,Crown Castle Inc.,5.19%,113.50,+2.94,+2.66%,2.96 M,107.62 - 184.92
PSA,Public Storage,4.89%,292.96,-1.41,-0.48%,0.7 M,270.13 - 357.13
O,Realty Income Corp,4.38%,61.73,+0.74,+1.21%,4.36 M,55.50 - 75.11
SPG,Simon Property Group A,4.26%,123.41,+1.89,+1.56%,1.38 M,86.02 - 133.08
WELL,Welltower Inc,4.22%,80.42,+1.82,+2.32%,1.86 M,56.50 - 86.83
CSGP,Costar Group Inc,3.95%,91.61,+0.38,+0.42%,2.1 M,60.27 - 92.36
DLR,Digital Realty Trust,3.72%,121.17,+3.86,+3.29%,2.57 M,85.76 - 138.09
VICI,VICI Properties Inc.,3.40%,32.15,+0.60,+1.90%,4.5 M,28.49 - 35.69
CBRE,CBRE Group Inc.,2.91%,88.91,+0.41,+0.46%,1.22 M,66.31 - 89.58
AVB,AvalonBay Communities Inc,2.91%,194.43,+1.38,+0.71%,0.96 M,153.07 - 220.42
SBAC,SBA Communications Corp,2.68%,234.27,+6.20,+2.72%,1.04 M,215.11 - 356.59
WY,Weyerhaeuser Co,2.65%,34.27,-0.25,-0.72%,2.87 M,27.37 - 37.37
EQR,Equity Residential,2.45%,68.06,+0.70,+1.04%,1.67 M,54.60 - 80.89
INVH,Invitation Homes,2.16%,35.30,+0.47,+1.35%,3.07 M,28.52 - 40.20
EXR,Extra Space Storage Inc,2.12%,148.96,-1.35,-0.90%,5.96 M,139.97 - 216.52
VTR,Ventas Inc,2.03%,48.21,+0.61,+1.28%,1.32 M,35.33 - 54.11
ARE,Alexandria Real Estate Eqty,1.98%,119.42,+2.55,+2.18%,0.88 M,108.81 - 172.65
IRM,Iron Mountain Inc,1.91%,62.23,+0.40,+0.65%,1.28 M,43.33 - 62.37
MAA,Mid-America Apt Communties,1.88%,152.92,+1.23,+0.81%,0.67 M,138.68 - 190.17
ESS,Essex Property Trust,1.65%,243.05,+3.26,+1.36%,0.44 M,195.03 - 300.33
UDR,UDR Inc,1.40%,42.76,+0.35,+0.83%,1.56 M,37.18 - 50.65
KIM,Kimco Realty Corp,1.36%,20.86,+0.35,+1.71%,5.14 M,17.34 - 23.89
HST,Host Hotels & Resorts Inc,1.33%,17.67,-0.01,-0.06%,5.54 M,14.51 - 19.76
CPT,Camden Property Trust,1.25%,111.39,+0.77,+0.70%,0.57 M,97.74 - 147.72
PEAK,Healthpeak Properties Inc.,1.24%,21.42,+0.52,+2.49%,3.28 M,19.09 - 28.43
REG,Regency Centers Corp,1.05%,64.75,+1.02,+1.60%,0.66 M,51.97 - 68.56
BXP,Boston Properties Inc,0.97%,64.42,+2.24,+3.60%,1.8 M,46.18 - 91.57
FRT,Federal Realty Invt Trust,0.79%,102.47,+1.42,+1.41%,0.61 M,85.27 - 115.08
