Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
NEE,NextEra Energy Inc,15.07%,72.57,+0.47,+0.65%,0.71 M,69.64 - 91.35
SO,Southern Co,7.90%,70.27,+0.13,+0.19%,0.18 M,58.85 - 80.57
DUK,Duke Energy Corp,7.30%,91.97,+0.32,+0.35%,0.16 M,83.76 - 113.67
SRE,Sempra,4.76%,147.60,+1.07,+0.73%,0.04 M,136.54 - 176.47
AEP,American Electric Power,4.54%,85.69,+0.32,+0.37%,0.22 M,80.30 - 105.60
D,Dominion Energy Inc,4.49%,51.98,+0.01,+0.02%,0.17 M,48.48 - 86.28
EXC,Exelon Corp,4.26%,41.73,+0.22,+0.52%,0.57 M,35.19 - 47.23
XEL,Xcel Energy Inc,3.60%,63.59,+0.20,+0.32%,0.28 M,56.89 - 77.66
ED,Consolidated Edison Inc,3.35%,93.64,+0.15,+0.16%,0.04 M,78.10 - 102.21
PEG,Public Service Enterprise Grp,3.27%,63.54,+0.14,+0.22%,0.11 M,52.51 - 69.94
CEG,Constellation Energy Corp,3.17%,95.99,+1.26,+1.33%,0.11 M,53.31 - 97.89
PCG,PG&E Corporation,2.96%,17.79,+0.05,+0.25%,0.69 M,10.42 - 18.19
WEC,WEC Energy Group Inc,2.92%,89.51,-0.13,-0.14%,0.04 M,80.82 - 108.20
AWK,American Water Works Co Inc,2.89%,144.03,+0.05,+0.03%,0.03 M,122.77 - 162.59
EIX,Edison Intl,2.79%,70.96,+0.32,+0.45%,0.06 M,54.45 - 74.92
ES,Eversource Energy,2.60%,72.18,+0.03,+0.04%,0.08 M,67.79 - 94.41
DTE,DTE Energy Co,2.37%,111.16,-0.08,-0.07%,0.02 M,100.64 - 136.77
AEE,Ameren Corp,2.31%,85.07,-0.12,-0.14%,0.05 M,73.28 - 97.53
ETR,Entergy Corp,2.21%,101.92,+0.65,+0.64%,0.09 M,94.16 - 122.46
FE,FirstEnergy Corp,2.20%,39.38,+0.21,+0.54%,0.15 M,35.60 - 43.31
PPL,PPL Corp,2.06%,26.99,-0.01,-0.04%,0.33 M,23.47 - 31.74
CNP,Centerpoint Energy Inc,1.94%,29.83,+0.01,+0.02%,0.13 M,25.03 - 33.50
CMS,CMS Energy Corp,1.82%,60.47,-0.04,-0.07%,0.04 M,52.41 - 71.19
ATO,Atmos Energy Corp,1.81%,120.81,-0.37,-0.30%,0.06 M,97.71 - 121.92
AES,AES Corp,1.53%,22.08,-0.02,-0.09%,0.25 M,19.38 - 29.89
EVRG,Evergy Inc.,1.42%,59.64,-0.14,-0.23%,0.05 M,54.12 - 71.58
LNT,Alliant Energy Corp,1.39%,53.76,+0.05,+0.08%,0.05 M,47.19 - 64.62
NI,Nisource Inc,1.18%,27.62,-0.08,-0.29%,0.25 M,23.78 - 31.87
PNW,Pinnacle West Capital (AZ),0.96%,83.10,+0.68,+0.83%,0.06 M,59.03 - 84.59
NRG,NRG Energy,0.90%,38.71,+0.71,+1.87%,0.33 M,30.25 - 45.80
