Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
UNH,Unitedhealth Group Inc,9.42%,503.70,+3.70,+0.74%,4.96 M,445.68 - 558.10
JNJ,Johnson & Johnson,8.29%,158.74,-0.32,-0.20%,7.52 M,150.11 - 181.04
LLY,Eli Lilly & Co,7.18%,453.56,+2.36,+0.52%,2.21 M,296.32 - 469.87
MRK,Merck & Co Inc,5.40%,105.95,0.00,0.00%,6.61 M,84.52 - 119.65
ABBV,AbbVie Inc.,4.88%,137.68,+1.10,+0.81%,4.78 M,130.96 - 168.11
TMO,Thermo Fisher Scientific,4.15%,535.55,+11.87,+2.27%,1.72 M,475.77 - 611.06
PFE,Pfizer Inc,4.13%,36.44,+0.20,+0.55%,18.59 M,35.35 - 54.93
ABT,Abbott Laboratories,3.75%,107.28,+0.33,+0.31%,6.23 M,93.25 - 115.69
DHR,Danaher Corp,3.25%,243.88,+3.09,+1.28%,3.27 M,221.22 - 303.82
BMY,Bristol-Myers Squibb,2.62%,62.06,+0.06,+0.10%,8.7 M,61.41 - 81.44
AMGN,Amgen Inc,2.49%,232.05,-0.52,-0.22%,2.05 M,211.71 - 296.67
ISRG,Intuitive Surgical Inc,2.46%,349.70,-5.23,-1.47%,2.58 M,180.07 - 358.07
MDT,Medtronic plc,2.30%,86.12,-0.48,-0.55%,4.8 M,75.77 - 95.60
ELV,"Elevance Health, Inc.",2.21%,463.21,+19.52,+4.40%,2.65 M,412.00 - 549.52
SYK,Stryker Corp,2.00%,294.48,-2.16,-0.73%,1.41 M,195.24 - 306.93
GILD,Gilead Sciences Inc,1.98%,78.96,+0.74,+0.95%,5.35 M,59.27 - 89.74
CVS,CVS Health Corporation,1.92%,74.38,+2.07,+2.86%,12.92 M,66.34 - 107.26
VRTX,Vertex Pharmaceuticals Inc,1.86%,358.57,-0.41,-0.11%,1 M,271.61 - 365.53
CI,The Cigna Group,1.74%,292.66,+7.84,+2.75%,2.2 M,240.50 - 340.11
ZTS,Zoetis Inc,1.59%,170.89,-0.19,-0.11%,1.84 M,124.15 - 187.82
REGN,Regeneron Pharmaceuticals Inc,1.56%,719.01,-7.54,-1.04%,0.58 M,563.82 - 837.55
BSX,Boston Scientific Corp,1.51%,52.34,-0.47,-0.89%,7.25 M,37.04 - 54.75
BDX,Becton Dickinson & Co,1.45%,254.90,-1.42,-0.55%,1.44 M,215.90 - 269.06
HCA,HCA Healthcare Inc,1.19%,286.71,-3.03,-1.05%,2.64 M,176.86 - 304.86
HUM,Humana Inc,1.12%,447.26,+6.53,+1.48%,2.07 M,423.29 - 571.30
MCK,McKesson Corp,1.12%,410.99,+0.35,+0.09%,0.76 M,322.82 - 429.75
EW,Edwards Lifesciences Corp,1.12%,91.62,-0.37,-0.40%,2.21 M,67.13 - 107.92
DXCM,DexCom Inc,1.04%,133.63,-4.30,-3.12%,2.97 M,77.51 - 138.92
IDXX,IDEXX Laboratories Inc,0.91%,547.75,+0.28,+0.05%,0.37 M,317.06 - 554.31
IQV,IQVIA Holdings Inc,0.84%,225.46,+1.23,+0.55%,0.76 M,165.75 - 249.11
MRNA,"Moderna, Inc.",0.82%,125.17,+2.56,+2.09%,3.03 M,115.03 - 217.25
BIIB,Biogen Inc,0.81%,276.89,+0.72,+0.26%,0.91 M,193.65 - 319.76
CNC,Centene Corp,0.76%,68.49,+2.16,+3.26%,3.94 M,61.34 - 98.53
A,Agilent Technologies Inc,0.73%,123.08,+3.52,+2.94%,2.43 M,113.28 - 160.27
RMD,ResMed Inc,0.64%,218.05,-3.07,-1.39%,0.5 M,202.04 - 247.65
GEHC,GE Healthcare Technologies Inc.,0.64%,81.75,-0.72,-0.87%,2.78 M,53.00 - 87.83
ABC,AmerisourceBergen Corp,0.62%,191.94,-0.45,-0.23%,1.16 M,135.14 - 193.83
MTD,Mettler-Toledo Intl,0.59%,1340.03,+5.02,+0.38%,0.17 M,1065.55 - 1615.97
ZBH,Zimmer Biomet Holdings Inc,0.59%,140.79,-0.07,-0.05%,1.01 M,102.60 - 149.25
ILMN,Illumina Inc,0.59%,184.53,+4.20,+2.33%,4.3 M,179.03 - 248.87
WST,West Pharmaceutical Services Inc,0.58%,385.62,+1.03,+0.27%,0.25 M,206.19 - 389.39
ALGN,Align Technology Inc,0.49%,342.58,-18.04,-5.00%,1.27 M,172.05 - 371.99
BAX,Baxter Intl Inc,0.49%,47.85,+0.80,+1.70%,6.41 M,37.35 - 67.07
CAH,Cardinal Health Inc,0.47%,92.15,-1.04,-1.12%,2.54 M,55.18 - 95.10
STE,STERIS plc,0.45%,227.44,+0.49,+0.22%,0.37 M,159.21 - 230.00
PODD,INSULET CORP,0.40%,287.82,+2.43,+0.85%,0.51 M,208.54 - 335.91
COO,Cooper Companies Inc,0.39%,394.84,+1.59,+0.40%,0.31 M,244.22 - 399.62
HOLX,Hologic Inc,0.39%,78.54,+0.77,+0.99%,1.99 M,59.78 - 87.88
LH,Laboratory Corporation of America Holdings,0.39%,217.11,+4.39,+2.06%,0.81 M,170.29 - 223.68
MOH,Molina Healthcare,0.37%,312.45,+9.39,+3.10%,0.69 M,256.19 - 374.00
WAT,Waters Corp,0.33%,280.08,+8.20,+3.02%,0.93 M,248.18 - 369.00
DGX,Quest Diagnostics,0.32%,143.10,+2.74,+1.95%,0.78 M,120.40 - 158.34
RVTY,"Revvity, Inc.",0.32%,126.53,+4.25,+3.48%,1.1 M,110.75 - 170.00
TECH,Bio-Techne Corp,0.27%,83.88,+1.58,+1.92%,0.68 M,68.00 - 99.34
VTRS,Viatris Inc,0.25%,10.43,+0.25,+2.46%,8.21 M,8.42 - 12.40
TFX,Teleflex Inc,0.24%,251.30,-0.31,-0.12%,0.18 M,182.65 - 276.43
INCY,Incyte Corp,0.23%,62.90,+1.22,+1.98%,1.53 M,60.56 - 86.29
CRL,Charles River Laboratories International Inc.,0.21%,204.02,+2.68,+1.33%,0.78 M,181.22 - 262.00
HSIC,Henry Schein Inc,0.21%,79.46,+0.22,+0.28%,2 M,64.75 - 89.72
UHS,Universal Health Services B,0.19%,152.39,-0.63,-0.41%,0.81 M,82.50 - 158.57
XRAY,Dentsply Sirona Inc.,0.17%,40.67,+0.12,+0.30%,3.25 M,26.48 - 43.24
BIO,Bio-Rad Laboratories Inc A,0.17%,397.07,+12.46,+3.24%,0.35 M,344.63 - 572.70
CTLT,Catalent Inc,0.17%,46.32,+0.53,+1.16%,2.34 M,31.45 - 115.34
DVA,DaVita Inc,0.12%,104.76,-1.40,-1.32%,0.44 M,65.28 - 106.96
OGN,Organon & Co,0.11%,20.81,+0.28,+1.36%,1.65 M,18.87 - 33.20
