Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMZN,Amazon.com Inc,22.90%,135.36,+2.53,+1.90%,54.53 M,81.43 - 146.57
TSLA,"Tesla, Inc",20.74%,291.26,-2.08,-0.71%,142.36 M,101.81 - 314.67
HD,Home Depot Inc,4.39%,319.48,+2.72,+0.86%,2.36 M,265.61 - 347.25
MCD,McDonald's Corp,4.19%,294.13,+0.31,+0.11%,1.97 M,230.58 - 299.10
LOW,Lowe's Cos Inc,4.14%,230.89,+0.98,+0.43%,1.65 M,176.50 - 235.07
NKE,NIKE Inc B,4.07%,109.88,+0.16,+0.15%,5.03 M,82.22 - 131.31
SBUX,Starbucks Corp,3.51%,101.83,+1.07,+1.06%,5.56 M,80.00 - 115.48
BKNG,Booking Holdings Inc,3.25%,2927.88,-53.73,-1.80%,0.3 M,1616.85 - 2998.00
TJX,TJX Cos Inc,2.96%,85.59,+0.43,+0.50%,3 M,59.78 - 86.43
CMG,Chipotle Mexican Grill Inc.,1.77%,2139.13,-14.07,-0.65%,0.24 M,1291.63 - 2175.01
ORLY,O'Reilly Automotive,1.76%,963.45,+1.04,+0.11%,0.33 M,665.45 - 975.72
F,Ford Motor Co,1.66%,14.10,-0.07,-0.49%,58.28 M,10.90 - 16.68
GM,General Motors Company,1.64%,39.23,+0.10,+0.26%,12.78 M,31.11 - 43.63
MAR,Marriott Intl A,1.47%,190.21,-3.45,-1.78%,1.95 M,135.90 - 194.37
AZO,AutoZone Inc,1.38%,2505.89,-22.20,-0.88%,0.23 M,2050.21 - 2750.00
DHI,Horton D.R. Inc,1.19%,127.85,-0.03,-0.02%,2.63 M,66.01 - 130.45
HLT,Hilton Worldwide Holdings  Inc,1.18%,148.92,-1.05,-0.70%,1.5 M,116.39 - 155.02
ROST,Ross Stores Inc,1.16%,112.62,+0.71,+0.63%,1.68 M,77.44 - 122.45
YUM,Yum! Brands Inc,1.14%,135.93,+2.09,+1.56%,1.65 M,103.97 - 143.25
LEN,Lennar Corp A,1.00%,130.75,-0.24,-0.18%,1.91 M,69.90 - 133.24
APTV,Aptiv plc,0.90%,110.38,+1.44,+1.32%,1.92 M,77.96 - 124.88
EBAY,eBay Inc.,0.79%,49.03,+1.00,+2.08%,6.06 M,35.92 - 52.23
GPC,Genuine Parts Co,0.71%,168.07,+0.80,+0.48%,1 M,140.62 - 187.73
ULTA,"Ulta Beauty, Inc",0.71%,471.21,-1.20,-0.25%,0.57 M,360.58 - 556.60
TSCO,Tractor Supply Co,0.69%,211.16,-1.04,-0.49%,1.63 M,181.40 - 251.17
RCL,Royal Caribbean Group,0.66%,99.41,+0.04,+0.04%,2.53 M,33.00 - 105.21
DRI,Darden Restaurants Inc,0.62%,171.45,+1.36,+0.80%,0.9 M,115.07 - 172.05
NVR,NVR Inc,0.59%,6445.95,-20.05,-0.31%,0.02 M,3816.56 - 6470.87
LVS,Las Vegas Sands,0.59%,59.66,-0.34,-0.57%,7.51 M,33.38 - 65.58
PHM,Pulte Group Inc,0.55%,81.96,-0.06,-0.07%,2.44 M,35.99 - 82.54
CCL,Carnival Corp,0.55%,18.15,-0.10,-0.55%,35.92 M,6.11 - 19.55
EXPE,"Expedia Group, Inc.",0.51%,119.10,-1.90,-1.57%,2.26 M,82.39 - 124.95
GRMN,Garmin Ltd,0.49%,107.68,+0.23,+0.21%,0.66 M,76.37 - 108.32
BBY,Best Buy Co Inc,0.49%,84.22,+0.65,+0.78%,2.49 M,60.79 - 93.32
MGM,MGM Resorts International,0.45%,49.93,+0.04,+0.08%,3.62 M,29.20 - 50.11
LKQ,LKQ Corp,0.44%,58.29,+0.14,+0.24%,0.87 M,46.20 - 59.38
POOL,Pool Corp,0.43%,365.97,+8.10,+2.26%,0.76 M,278.10 - 423.97
DPZ,Domino's Pizza Inc,0.42%,392.33,+0.04,+0.01%,0.44 M,285.84 - 426.44
KMX,Carmax Inc,0.40%,85.14,-0.67,-0.78%,1.27 M,52.10 - 106.24
CZR,"Caesars Entertainment, Inc.",0.37%,57.68,+1.33,+2.36%,4.09 M,31.31 - 57.86
ETSY,"Etsy, Inc.",0.36%,96.09,+2.76,+2.96%,3.09 M,80.44 - 149.91
WYNN,Wynn Resorts Ltd,0.33%,107.30,-0.96,-0.89%,1.26 M,53.81 - 117.86
BWA,Borgwarner Inc,0.32%,45.93,+0.28,+0.61%,1.48 M,26.61 - 47.05
TPR,"Tapestry, Inc",0.30%,42.39,-0.97,-2.24%,3.03 M,27.53 - 47.48
NCLH,Norwegian Cruise Line Holdings Ltd,0.27%,21.14,-0.01,-0.05%,11.93 M,10.83 - 22.75
WHR,Whirlpool Corp,0.26%,156.10,+0.99,+0.64%,0.65 M,124.10 - 178.05
HAS,Hasbro Inc,0.25%,64.61,+1.41,+2.23%,1.53 M,45.75 - 85.08
BBWI,Bath & Body Works Inc,0.25%,36.00,+0.39,+1.10%,5.36 M,28.37 - 49.55
VFC,VF Corp,0.20%,20.46,+0.96,+4.92%,7.22 M,16.77 - 48.63
MHK,Mohawk Industries Inc,0.18%,112.51,+0.08,+0.07%,0.65 M,87.02 - 137.41
RL,Ralph Lauren Corp A,0.16%,128.60,+0.26,+0.20%,0.6 M,82.23 - 132.66
AAP,Advance Auto Parts Inc,0.13%,72.44,+3.13,+4.52%,2.77 M,63.56 - 212.25
NWL,Newell Brands Inc,0.11%,10.06,+0.31,+3.18%,4.92 M,7.80 - 21.55
